,word,meaning,urls
1008,alι hǝṭ,dried gourd,
1009,acʰīṭ,possessing the evil eye,
1010,acʰīṭ,jealous,
1011,abāzun,one without virtue,
1012,abāzun,wealth,
1013,abāzun,or knowledge,
1014,adal badal wanun,to make an incorrect statement in conversation; to give incorrect instruction,
1015,adal wadal,abusive language,
1016,adal wadal,attacking abusively,
1017,adālǝti,one who presides in a court of justice,
1018,adālǝti,a judge,
1019,aḍam zaḍ,very little,
1020,aḍam zaḍ,used regarding the partial return of something deposited,
1021,aḍijι kʰōⁿgur,a skeleton; a main bone of a complete skeleton,
1022,aḍijι kʰōⁿgur,a living skeleton (of one who is very lean),
1023,adyāy,a chapter or section of a book,
1024,aḍun,to become half; hence,
1025,aḍun,to become lean or wasted,
1026,aḍʸul,the rounded head of a bone,
1027,aḍʸul,a large bone,
1028,aḍʸul,such as that of the leg,
1029,aḍι kǝj,one who stammer,
1030,aḍijι trangur,a string of connected bones,
1031,aḍι trakur,having hard or strong bones,
1032,adog,not husked (as of paddy in a mortar),
1033,afsūs lārun,to become vexed,
1034,agāl magāl,dirtied,
1035,agāl magāl,etc.; used specially of incorrect writing full of mistakes,
1036,ag,a knot in wood; the knot in a tree,
1037,agādi gaʦun,to persevere steadily,
1038,agādi gaʦun,to persist till one has gained one's object,
1039,agādi gaʦun,to display causeless wrath against one who is without fault,
1040,agun diyun,to fire,
1041,agastι pōš,the name of a certain plant described as blooming in the autumn,
1042,agastι pōš,having a strong scent,
1043,agastι pōš,with flowers of nearly every colour,
1044,agǝnḍ,not tied up,
1045,agonḍ,not tied up,
1046,agol,not molten,
1047,agol,not melted,
1048,agol,still unmelted,
1049,agol,not reduced to a liquid form (usually of metals exposed to heat),
1050,agōr,not terrible,
1051,agōr,a euphemistic name of Lord šiva,
1052,agor,not worked,
1053,agor,not smoothed off,
1054,agor,rough (of metal vessels or ornaments,
1055,agor,earthen vessels,
1056,agor,wooden pillars,
1057,aguh,not ground,
1058,aguh,not reduced to a fine powder,
1059,agι ziyun,firewood in which there are many knots,
1060,agunι kuṭʰ,the name of a particular moment or place fixed for sacrificial purposes,
1061,agur,sandal,
1062,agyān,ignorance,
1063,agyān,want of intelligence,
1064,agunιkonḍ,a hole or enclosed space for the consecrated fire at a sacrifice,
1065,agιdār,timber in which there are many knots,
1066,ahāl,to be skilful in any work,
1067,ahāl,to be well practised in anything,
1068,ahāl,to know how to do anything,
1069,ahlun,to agree to any action,
1070,ahlāwun,causes another to agree to any action,
1071,ahankār,pride,
1072,ahankār,vanity,
1073,ahankār,overweening or insolent behaviour,
1074,ahankār,whether due to wealth,
1075,ahankār,knowledge,
1076,ahankār,or family; the conceit of individuality,
1077,ahankār,belief in the independent existence of the ego,
1078,ahōr,not returned (of a debt,
1079,ahōr,or anything lent),
1080,ahrēmιʦ,one who has become hard or obstinate by perversity or change of nature,
1081,ahrōymut,one who has become hard or obstinate by perversity or change of nature,
1082,ahrun,to be distraught from fear,
1083,ahrun,sorrow,
1084,ahrun,or the like; also,
1085,ahrun,to show extreme obstinacy,
1086,ahrιbal,the name of a well-known district and waterfall in Kashmīr,
1087,aji hāri hʸund,of half a cowry,
1088,aji hāri hʸund,worth only half a cowry,
1089,aji hāri hʸund,worth nothing,
1090,aji rə̄ʦ,at midnight,
1091,aji wati,at half-way,
1092,aji wati,having reached half-way,
1093,ajī wait,exactly half-way,
1094,atines,there,
1095,aṭι bōr,a burden carried on the shoulder or back; a shoulder on which a burden is carried,
1096,aji,half,
1097,aji,partially,
1098,aji,partly,
1099,aṭι,the rope for tying a burden on the shoulders,
1100,akōy,only one,
1101,bab,breast,
1102,babι ṭeⁿḍ,nipple of the breast of a human being or beast,
1103,bab,father,
1104,bab,grandfather,
1105,bab,or other ancestor,
1106,babι,udder,
1107,bacāwun,to save,
1108,bacāwun,put aside,
1109,bacāwun,keep,
1110,bacāwun,conserve,
1111,bacet,saving,
1112,bacet,economy,
1113,bacet,cutback,
1114,bacet,economy,
1115,bacet,reduction,
1116,bacidə̄nʸ,uterus,
1117,bacidə̄nʸ,womb,
1118,baci,kid,
1119,baci,a cild,
1120,baci-kut,dance boy,
1121,bacun,get rid of,
1122,bacun,get away,
1123,bacun,throw away,
1124,bacun,escape,
1125,bad andēš,envious,
1126,bad andēš,jealous,
1127,bad andēš,resentful,
1128,bad bū,stink,
1129,bad dā,cursing,
1130,bad dā,nuisance,
1131,bad dā,annoyance,
1132,baḍ māz,beef,
1133,badal akʰ,substitute,
1134,badal akʰ,alternate,
1135,badal akʰ,replacement,
1136,badal,instead,
1137,badal,as an alternative,
1138,badal,as a substitute,
1139,badal,in its place,
1140,baḍāwun,improve,
1141,baḍāwun,get better,
1142,baḍāwun,advance,
1143,baḍāwun,progress,
1144,baḍāwun,develop,
1145,baḍāwun,add to,
1146,baḍāwun,boost,
1147,badlι,revenge,
1148,badlι,reprisal,
1149,badlι,vengeance,
1150,badmāš,defame,
1151,badmāš,deprecate,
1152,badmāš,intoxicated,
1153,badmāš,drunk,
1154,badmāš,under the influence,
1155,badbakʰt,unfortunate,
1156,badbakʰt,ill-fated,
1157,badbakʰt,unlucky,
1158,badnām karun,defame,
1159,badnām karun,deprecate,
1160,badnām karun,disparage,
1161,badnām karun,insult,
1162,bǝḍrāv,sink,
1163,bǝḍrāv,go under,
1164,bǝḍrāv,go under the surface,
1165,bǝḍrāv,drop,
1166,bad-sūrat,ugly,
1167,bad-sūrat,unattractive,
1168,bad-sūrat,unsightly,
1169,bad-sūrat,horrible,
1170,bad-sūrat,nasty,
1171,bad-sūrat,horrible,
1172,bad-šakl,deformed,
1173,bad-šakl,ugly,
1174,bad-šakl,unappealing,
1175,bad-šakl,distasteful,
1176,bagāwat karin,revolt,
1177,bagāwat karin,insurgency,
1178,bagāwat karin,rebellion,
1179,bah,twelve,
1180,baḍun,falling,
1181,baḍun,tumbling,
1182,baḍun,tumbling,
1183,baḍun,dropping,
1184,baḍun,dipping,
1185,baḍun,plummeting,
1186,baḍun,sinking,
1187,bahādur,brave,
1188,bahādur,courageous,
1189,bahādur,heroic,
1190,bahādur,bold,
1191,bahādur,daring,
1192,bahādur,fearless,
1193,bahādurī,courage,
1194,bahādurī,bravery,
1195,bahādurī,guts,
1196,bahādurī,daring,
1197,bahādurī,audacity,
1198,bahānι,cause,
1199,bahānι,reason,
1200,bahānι,motivation,
1201,bahānι,grounds,
1202,bahānι,pretence,
1203,bah,vapor,
1204,bah,spray,
1205,bah,steam,
1206,bahānι karun,pretend,
1207,bahānι karun,make believe,
1208,bahānι karun,act as if,
1209,bahānι karun,make up,
1210,bahānι karun,play,
1211,bahār,Spring,
1212,bahaʦ,contention,
1213,bahaʦ,debate,
1214,bahaʦ,controversy,
1215,bahaʦ,argument,
1216,bahaʦ,opinion,
1217,bahaʦ,claim,
1218,bahaʦ,disputation,
1219,bajerʸ,largeness,
1220,bajerʸ,large size,
1221,bajerʸ,expansiveness,
1222,bajerʸ,seniority,
1223,bajerʸ,position,
1224,bajerʸ,superiority,
1225,bajerʸ,rank,
1226,bakʰil,stingy,
1227,bakʰil,miserly,
1228,bakʰil,tightfisted,
1229,bakʰil,penny-pinching,
1230,bakʰšiš,gratuity,
1231,bakʰšiš,reward,
1232,bakʰšiš,payment,
1233,bakʰšiš,incentive,
1234,bakʰšun,endow,
1235,bakʰšun,give,
1236,bakʰšun,leave confer on,
1237,bakʰšun,hand down,
1238,bakʰšun,bequeath,
1239,bakʰšun,to forgive,
1240,bakʰšun,pardon,
1241,bakʰšun,excuse,
1242,bakʰšun,forgive and forget,
1243,bakʰtι boḍ,successful,
1244,bakʰtι boḍ,star,
1245,bakʰtι boḍ,thriving,
1246,bakʰt,luck,
1247,bakʰt,fortune,
1248,bakʰt,good luck,
1249,bakʰt,good fortune,
1250,bakʰt,godsend,
1251,bakʰtāwār,lucky,
1252,bakʰtāwār,fortunate,
1253,bakʰtāwār,blessed,
1254,bakʰtāwār,auspicious,
1255,balgam,phlegm,
1256,balāy,calamity,
1257,balāy,disaster,
1258,balāy,tragedy,
1259,banafšā,violet,
1260,balun,fine,
1261,balun,well,
1262,balun,in good health,
1263,balun,all right,
1264,balʸōmut,recovered,
1265,balʸōmut,healthier,
1266,balʸōmut,in good health,
1267,balʸōmut,well again,
1268,balʸōmut,improved,
1269,bamʦūⁿṭ,quince,
1270,banāwun,to form,
1271,banāwun,construct,
1272,banāwun,develop,
1273,banāwun,establis,
1274,baⁿd karun,lock up,
1275,baⁿd karun,detain,
1276,baⁿd karun,imprison,
1277,baⁿd karun,jail,
1278,baⁿd karun,restrain,
1279,baⁿd karun,hold down,
1280,baⁿd karun,control,
1281,baⁿd karun,bring under control,
1282,band,a type of bread,
1283,baⁿd,close,
1284,baⁿd,shut,
1285,baⁿd,lock,
1286,baⁿd,seal,
1287,baⁿd,close up,
1288,baⁿd,put up the shutters,
1289,band tʰāwun,mortgage,
1290,band tʰāwun,to shut,
1291,band tʰāwun,close,
1292,band tʰāwun,lock ,
1293,band tʰāwun,put down the lid,
1294,band,joint,
1295,band,linkage,
1296,band,bone joint,
1297,baⁿd gōbi,cabbage,
1298,baⁿdubast,settlement,
1299,baⁿdubast,resolution,
1300,baⁿdubast,agreement,
1301,baⁿdubast,payment,
1302,bandūk barun,load a gun,
1303,bandūk,gun,
1304,bandūkgar,gun maker,
1305,bandιgī,compliments,
1306,bandιgī,respects,
1307,bandιgī,greetings,
1308,bang kul,Indian hemp,
1309,bang kul,poppy,
1310,bangι,Indian hemp,
1311,banjer,barren land,
1312,banjer,infertile,
1313,banjer,unproductive unfruitful harsh,
1314,banun,become,
1315,banun,developed into,
1316,banun,turn into,
1317,banun,happen to,
1318,banun,befall,
1319,banōvmut,made,
1320,banōvmut,created,
1321,banōvmut,built,
1322,banōvmut,crafted,
1323,bar,door,
1324,bar diyun,to shut the door,
1325,barābar,equal,
1326,barābar,equivalent,
1327,barābar,like,
1328,barābar,the same,
1329,barābar,one and the same,
1330,barābar,even,
1331,barābar,unvarying,
1332,barābar,stable,
1333,barābar,regular,
1334,barābarī,accord,
1335,barābarī,agreement,
1336,barābarī,harmony,
1337,barābarī,unity,
1338,barābarī,concurrence,
1339,barbād karun,destroy,
1340,barbād karun,devastate,
1341,barbād karun,tear down,
1342,barbād karun,demolish,
1343,barbād karun,wipe out,
1344,barbād karun,damage,
1345,barbād karun,ruin,
1346,barkʰilāf,against,
1347,barkʰilāf,adjacent to,
1348,barkʰilāf,in opposition to,
1349,barkʰilāf,not in favour,
1350,barkʰilāf,anti,
1351,barkʰilāf,critical of opposed to,
1352,barkʰilāf,versus,
1353,barītʰ,full,
1354,barītʰ,filled,
1355,barītʰ,complete,
1356,barītʰ,stuffed,
1357,barōbar,like,
1358,barōbar,similar,
1359,barōbar,comparable,
1360,baritʰ karun,to fill,
1361,bardāšt,endurance,
1362,bardāšt,staying power,
1363,bardāšt,patience,
1364,bardāšt,stamina,
1365,bartan,utensil,
1366,brιtʰā,husband,
1367,basanwōl,inhabitant,
1368,basanwōl,resident,
1369,basanwōl,citizen,
1370,basanwōl,occupant,
1371,bastι,wallet,
1372,bastι,folder,
1373,bastι,file,
1374,bastι,holder,
1375,bastι,case,
1376,bastūr,sack,
1377,bastūr,bag,
1378,bastūr,backpack,
1379,batʰι,kiln,
1380,baskīn,tenant,
1381,baskīn,occupant,
1382,baskīn,paying guest,
1383,baskīn,resident,
1384,baskīn,leaseholder,
1385,baṭʸen,Kashmiri Hindu female,
1386,bayāⁿ karun,describe,
1387,bayāⁿ karun,explain,
1388,bayāⁿ karun,portray,
1389,bayāⁿ karun,illustrate,
1390,bayāⁿ karun,give a picture of,
1391,batuk,drake,
1392,batι dʸun,to feed,
1393,basun,dwell,
1394,basun,reside,
1395,basun,stay,
1396,basun,inhabit,
1397,basun,settle,
1398,batιj,duck,
1399,batʸι,wick,
1400,baṭι,Kasmiri Hindu male,
1401,batι,rice,
1402,batι,cooked rice,
1403,baṭιwār,Saturday,
1404,baṭιwār,the seventh and last day of week,
1405,baṭιwāⁿgun,tomato,
1406,bawāsīr,hemorrhoids,
1407,bakwās,chat,
1408,bakwās,talk nonsense,
1409,bakwās,jabber,
1410,bādām,almond,
1411,bayāⁿ,eloquent,
1412,bayāⁿ,fluent,
1413,bayāⁿ,well-expressed,
1414,bayāⁿ,expressive,
1415,bādām kul,almond tree,
1416,bāb,chapter,
1417,bāb,section,
1418,bāb,subdivision,
1419,bāb,part,
1420,bāb,episode,
1421,bayāⁿbāⁿ,desert,
1422,bayāⁿbāⁿ,wasteland,
1423,bayāⁿbāⁿ,barren region,
1424,bazāz,cloth-merchant,
1425,bāg,garden,
1426,bāgwān,gardener,
1427,bāj,tax,
1428,bāj,toll,
1429,bāj,tariff,
1430,bāgwə̄ni,gardening,
1431,bāl,ball,
1432,bākιy,rest,
1433,bākιy,residue,
1434,bākιy,remains,
1435,bākιy,leftovers,
1436,bākιy,remainder,
1437,bāl,hill,
1438,bālēg,adult,
1439,bālēg,mature,
1440,bāli tʰāwun,to moor a boat,
1441,bāⁿḍ,actor,
1442,bāⁿḍ,performer,
1443,bāⁿḍ,artist,
1444,bāⁿḍ,player,
1445,bāⁿḍ,artiste,
1446,bāman,bud,
1447,bāman,blossom,
1448,bāman,sprout,
1449,bāⁿd,prisoner,
1450,bāⁿd,jailbird,
1451,bāⁿd,convict,
1452,bāⁿg,call to pray in the Muslims,
1453,bānι,pot,
1454,bānι,utensils,
1455,bānι,urn,
1456,bānι,container,
1457,bānι,gadget,
1458,bāpʰtʰur,nephew,
1459,bāpʰtʰur,brother’s son,
1460,bānιkuṭʰ,larder,
1461,bāpatʰ,for sake of,
1462,bāpatʰ,behalf,
1463,bāpatʰ,purpose,
1464,bār,load,
1465,bār,burden,
1466,bār,oppress,
1467,bār,overload,
1468,bāšindar,inhabitant,
1469,bāšindar,resident,
1470,bāšindar,citizen,
1471,bāšindar,occupant,
1472,bāšendι,inhabitant,
1473,bāšendι,resident,
1474,bāšendι,civilian,
1475,bāšendι,city dweller,
1476,bāšendι,citizen,
1477,bāšendι,occupant,
1478,bāšendι,denizen,
1479,bāpə̄r,tradesman,
1480,bāpə̄r,trader,
1481,bāpə̄r,merchant,
1482,bāpə̄r,seller,
1483,bāpə̄r,broker,
1484,bāpə̄r,wholesaler,
1485,bāvzι,niece,
1486,bāvzι,brother’s daughter,
1487,bāṭur,quail,
1488,bāṭur,a bird,
1489,bāwun,to relate,
1490,bāwun,to share,
1491,bāwun,narrate,
1492,bāwun,tell,
1493,bāwun,speak about,
1494,bāwun,convey,
1495,bāz,prey,
1496,bāz,victim,
1497,bāz,target,
1498,bāv,to show,
1499,bāv,demonstrate,
1500,bāv,explain,
1501,bāzār,street,
1502,bāzār,market,
1503,bɔcʰιhot,starving,
1504,bɔcʰιhot,hungry,
1505,bɔcʰιhot,famished,
1506,bɔcʰι,appetite,
1507,bɔcʰι,hunger,
1508,bɔcʰι,craving,
1509,bɔcʰι,need to eat,
1510,bɔcʰι,desire for food,
1511,bɔcʰι,eagerness,
1512,bɔn wasun,to descend,
1513,bɔn wasun,go down,
1514,bɔn wasun,move down,
1515,bɔn wasun,come down,
1516,bɔn wasun,slide down,
1517,bɔn wasun,fall down,
1518,bɔn wasun,tumble down,
1519,bɔkwǝṭ,kidney,
1520,bɔn,below,
1521,bɔn,under,
1522,bɔn,underneath,
1523,bɔn,beneath,
1524,bɔn,lower than,
1525,bɔnkun,downwards,
1526,bɔnι,down,
1527,bɔnι,downward,
1528,bɔnι,downstairs,
1529,be-adabi,disrespectfully,
1530,be-adabi,impolitely,
1531,be-adabi,impertinently,
1532,bedil,unmanly,
1533,bedil,incapable,
1534,bedil,toothless,
1535,bedil,defenseless,
1536,bɔtal,bottle,
1537,bɔtal,container,
1538,be-ār,merciless,
1539,bedīn,infidel,
1540,behnāwun,set down,
1541,behnāwun,set aside,
1542,behnāwun,put away,
1543,behnāwun,lay down,
1544,begānι,foreigner,
1545,begānι,stranger,
1546,begānι,alien,
1547,be-insāf,unjust,
1548,be-insāf,unfair,
1549,be-insāf,undue,
1550,behōš,numb,
1551,behōš,lacking feeling,
1552,behōš,insensitive,
1553,behōš,anesthetized,
1554,behōš,hardhearted,
1555,bēkʰabar,unaware,
1556,bēkʰabar,ignorant,
1557,bēkʰabar,unconscious,
1558,bēkʰabar,innocent,
1559,bǝhʸum,twelfth,
1560,bēlci,spade,
1561,bēlci,scoop,
1562,bemār,ill,
1563,bemār,unwell,
1564,bemār,sick,
1565,bekʰāwaⁿd,widow,
1566,bereham,brutal,
1567,bereham,unkind,
1568,bereham,mean,
1569,bereham,heartless,
1570,bereham,ruthless,
1571,bereham,harsh,
1572,beni,sister,
1573,beni,daughter of the same parent,
1574,bemə̄r,disease,
1575,bemə̄r,illness,
1576,bemə̄r,sickness,
1577,bemə̄r,ailment,
1578,bemə̄r,virus,
1579,bemə̄r,infection,
1580,bemə̄r,disorder,
1581,bemə̄r,complaint,
1582,bād pakun,the breaking of wind with noise,
1583,bād pakun,syphilis to occur,
1584,betāb,restless,
1585,betāb,annoyed,
1586,betāb,restive,
1587,betāb,impatient,
1588,beyi ti beyi,many times,
1589,beyi ti beyi,repeatedly again and again over and over persistently,
1590,beyi akh,one more,
1591,beyi akh,another,
1592,beyi akh,an additional,
1593,beyi akh,an extra,
1594,beyi akh,an added,
1595,beyi pʰiri,again,
1596,beyi pʰiri,once more,
1597,beyi pʰiri,another time,
1598,beyi pʰiri,yet again,
1599,beyi pʰiri,for a second time,
1600,be-yezti sān,disrespectfully,
1601,be-yezti sān,impolitely,
1602,be-yezti sān,impertinently,
1603,beyi kaⁿh,anybody,
1604,beyi kaⁿh,any person,
1605,beyi kaⁿh,anyone,
1606,beyι,more,
1607,beyι,additional,
1608,beyι,further,
1609,beyι,other,
1610,becʰun,begging,
1611,beyi vizi,next time,
1612,beyi vizi,another time,
1613,beyι,and,
1614,beyι,in addition to,
1615,beyι,as well as,
1616,beyι,plus,
1617,bʸecʰvun,beggar,
1618,bʸecʰvun,homeless person,
1619,bʸecʰvun,vagrant,
1620,bʸeh,be seated,
1621,bʸeh,take a seat,
1622,bʸeh,park yourself,
1623,bekār karun,dismiss,
1624,bekār karun,fire,
1625,bekār karun,reject,
1626,bekār karun,lay off,
1627,bekār karun,give somebody the pink slip,
1628,bʸekarār,uncomfortable,
1629,bʸekarār,painful,
1630,bʸehnāwun,cause to sit,
1631,be-andāz,unskillful,
1632,be-andāz,lacking ability,
1633,be-andāz,unpromising,
1634,bemārdə̄rī,sick condition,
1635,bemārdə̄rī,ill,
1636,bemārdə̄rī,unwell,
1637,bemārdə̄rī,ailing not a hundred percent,
1638,bemazι,tasteless,
1639,bemazι,flavorless,
1640,bemazι,in poor taste,
1641,bemazι,cheap,
1642,belazat,tasteless,
1643,belazat,flavorless,
1644,belazat,in poor taste,
1645,belazat,cheap,
1646,beparwah,thoughtless,
1647,beparwah,inconsiderate,
1648,beparwah,careless,
1649,beparwah,negligent,
1650,bešūb,worthless,
1651,bešūb,of no value,
1652,bešūb,useless,
1653,bešūb,meaningless,
1654,betāb,impatient,
1655,betāb,fervent,
1656,betāb,intolerant,
1657,betāb,eager,
1658,betāb,hasty,
1659,be-tartīb,disorder,
1660,be-tartīb,chaos,
1661,be-tartīb,confusion,
1662,be-tartīb,mess,
1663,be-tartīb,unrest,
1664,be-arām,uneasy,
1665,be-arām,uncomfortable,
1666,be-arām,anxious,
1667,bēdār,vigilant,
1668,bēdār,watchful,
1669,bēdār,alert,
1670,bēdār,attentive,
1671,bēdār,aware,
1672,bēdār,observant,
1673,bēdār,wary,
1674,beṭʰak,assembly,
1675,becʰ,begging,
1676,becʰ,pleading,
1677,becʰ,ask for,
1678,bēklun,to become fool,
1679,bēklə̄zi,foolishness,
1680,bēklə̄zi,stupidity,
1681,bēklə̄zi,idiocy,
1682,bēkιl,senseless,
1683,bēkιl,stupid,
1684,bēkιl,silly,
1685,bēkιl,foolish,
1686,bēkιl,mindless,
1687,bēkιl,idiotic,
1688,bedemāg,stupid,
1689,bedemāg,unintelligent,
1690,bedemāg,brainless,
1691,bedemāg,foolish,
1692,bedemāg,silly,
1693,bēwafā,faithless,
1694,bēwafā,untrustworthy,
1695,bēwafā,disloyal,
1696,bēwukūf,silly,
1697,bēwukūf,stupid,
1698,bēwukūf,childish,
1699,bēwukūf,ridiculous,
1700,bēwukūf,mad,
1701,bēlʸ,spade,
1702,bʸēr,cats,
1703,bʸēztī karin,discredit,
1704,bʸēztī karin,bring shame on,
1705,bʸēztī karin,disgrace,
1706,bʸēztī karin,humiliate,
1707,bigur,confounded,
1708,bigur,blasted,
1709,bigur,horrible,
1710,bigur,wretched,
1711,bic,scorpion,
1712,bic,crab,
1713,bigrʸōmut,damaged,
1714,bigrʸōmut,corrupt,
1715,bʸēztī,disgrace,
1716,bʸēztī,shame,
1717,bʸēztī,dishonor,
1718,bʸēztī,discredit,
1719,bʸēztī,humiliation,
1720,bihʸun,to sit,
1721,bihʸun,be placed,
1722,bihʸun,be seated,
1723,bihʸun,sit down,
1724,birι-gɔgul,ball,
1725,bijlībatʸ,lamp,
1726,bijlībatʸ,bulb,
1727,bilibucur,nightingale,
1728,bīm,fear,
1729,bīm,dread,
1730,bīm,horror,
1731,bīm,shock,
1732,biskūṭ,biscuit,
1733,bǝḍrāwun,to make larger,
1734,bīnə̄yi,sight,
1735,bīnə̄yi,vision,
1736,bīnə̄yi,eyesight,
1737,bǝḍ saḍak,highway,
1738,bǝhlāvɔn,keep amused,
1739,bǝhlāvɔn,keep busy,
1740,bǝhlāvɔn,occupy,
1741,bǝlrāwun,cure,
1742,bǝlrāwun,heal,
1743,bǝlrāwun,treat,
1744,bǝlrāwun,make well,
1745,bǝlrāwun,restore to health,
1746,bǝli,sacrifice,
1747,bǝli,the act of offering ceremonially to deity,
1748,bǝli,the slaughter of an animal to please the deity,
1749,bǝlʸ,pretence,
1750,bǝlʸ,merriment,
1751,bǝlʸ lāgun,to pretend,
1752,bǝlʸ lāgun,make believe,
1753,bǝlʸ lāgun,act as if,
1754,bǝlʸ lāgun,make up,
1755,bǝlʸ lāgun,play,
1756,bǝrut,brimful,
1757,bǝrut,overfilled,
1758,bǝrut,overflowing,
1759,bǝrut,bursting at the seams,
1760,bǝrιʦ,pregnant,
1761,bǝrιʦ,with child,
1762,bǝrιʦ,expectant,
1763,bǝrιʦ,expecting,
1764,bǝrιʦ,heavy with child,
1765,bǝsrakʰ,traditional Kashmiri sweet snack,
1766,bǝstι kʰaʦʰinʸ,swell up,
1767,bǝstι kʰaʦʰinʸ,erupt,
1768,bǝstι kʰaʦʰinʸ,bubble,
1769,bǝstι kʰaʦʰinʸ,break out in blisters,
1770,bǝstι,blister,
1771,bǝstι,eruption burn eruption,
1772,bə̄gi,rebellious,
1773,bə̄gi,disobedient,
1774,bə̄gi,unruly,
1775,bə̄gi,disloyal,
1776,bə̄glι,beans,
1777,bə̄grāwun,distribute,
1778,bə̄grāwun,share out,
1779,bə̄grāwun,deliver,
1780,bə̄grāwun,issue,
1781,bə̄grun,distribute,
1782,bə̄grun,share out,
1783,bə̄grun,hand out,
1784,bə̄grun,deal out,
1785,bə̄grun,give out,
1786,bə̄grun,allot,
1787,bə̄grun,deliver,
1788,bə̄ⁿs,cane,
1789,bə̄ⁿs,bamboo,
1790,bə̄riš,rain,
1791,bə̄riš,rainfall,
1792,bə̄riš,shower,
1793,bə̄t,verse,
1794,bə̄ʦ,married couple,
1795,bə̄ykākanʸ,sister-in-law,
1796,bə̄ykākanʸ,brother’s wife,
1797,bə̄t gewān,singing,
1798,bə̄t gewān,playing,
1799,bə̄t gewān,in performance,
1800,bə̄t gewān,on stage,
1801,bʸōr,cat,
1802,bʸērι,cats,
1803,bιḍʸbab,grandmother,
1804,bιⁿgιr,bangle,
1805,bι,I (pron.),
1806,bιr,edge,
1807,bocʰi lagin,to be hungry,
1808,bιzun,to bake,
1809,bιzun,cook in the oven,
1810,bιzun,heat,
1811,bιzun,roast,
1812,bocʰōmut,hungry,
1813,boḍ camci,tablespoon,
1814,boḍ doh,festival,
1815,boḍ,large,
1816,boḍ,big,
1817,boḍ,huge,
1818,bǝḍʸ,adult,
1819,bǝḍʸ,mature,
1820,bǝḍʸ,fully developed,
1821,bǝḍʸ,grown,
1822,bǝḍʸ,big,
1823,bǝḍʸ,large,
1824,bǝḍʸ,full-size elder,
1825,bǝḍʸ,old,
1826,bǝḍʸ,aged,
1827,bǝḍʸ,former,
1828,bǝḍʸ,erstwhile,
1829,bōgun,vessel,
1830,bāⁿd,repeatedly urging,
1831,bāⁿd,pressing,
1832,bāⁿd,or insisting upon,
1833,baḍι,grand parents,
1834,bʸon,different,
1835,bʸon,dissimilar,
1836,bʸon,diverse,
1837,bʸon,unlike,
1838,bʸon,poles apart,
1839,bʸon,unusual,
1840,bʸon,nuclear family,
1841,bāmbar,hurry,
1842,bāmbar,urgency,
1843,bāmbar,rush,
1844,boṭʰ,river bank,
1845,boṭʰ,shore,
1846,boṭʰ,bank,
1847,boṭʰ,brink,
1848,boṭʰ,edge,
1849,boṭʰ,rim,
1850,boṭʰ,lip,
1851,boṭι wə̄nʸ,trader of Ladak,
1852,bōdιwār,Wednesday,
1853,bōg,share,
1854,bōg,part,
1855,bōg,portion,
1856,bōg,piece,
1857,bōⁿwār,Tuesday,
1858,bōⁿwār,the third day of week,
1859,bōlun,talk,
1860,bōlun,speak,
1861,bōlun,converse,
1862,bōlun,have a discussion,
1863,bōnʸ,Chinar tree,
1864,bōnʸ,maple,
1865,bōr,burden,
1866,bōr,load,
1867,bōr,weight,
1868,baḍun,to become large,
1869,baḍun,become big,
1870,baḍun,get big,
1871,bōs,stomach,
1872,bōsι,kiss,
1873,bāg,a share,
1874,bāg,a portion,
1875,bōzun,to hear,
1876,bōzun,reckon,
1877,bōzun,think,
1878,bōzun,consider,
1879,bōzun,feel,
1880,bōzun,understand,
1881,bōzun,appreciate,
1882,bōzun,grasp,
1883,bōv,posterior part of thigh,
1884,bōz,pay attention,
1885,bōz,listen,
1886,bʸōl,seed,
1887,bōy,brother,
1888,bādum,almond,
1889,bram,trick,
1890,bram,deception,
1891,bram,hoax,
1892,bram,swindle,
1893,bram,trap,
1894,brag,crane,
1895,bōznāwun,to relate,
1896,bōznāwun,to share,
1897,bōznāwun,narrate,
1898,bōznāwun,tell,
1899,bōznāwun,speak about,
1900,bōznāwun,convey,
1901,brag,heron,
1902,branιkul,elm,
1903,bram dʸun,cheat,
1904,bram dʸun,deceive,
1905,bram dʸun,take advantage of,
1906,bram dʸun,swindle,
1907,brāⁿd,doorsill,
1908,brāⁿd,threshold,
1909,brāⁿd,entrance,
1910,brāⁿd,doorstep,
1911,braswār,Thursday,
1912,braswār,the fifth day of week,
1913,brōⁿtʰ,before,
1914,brōⁿtʰ,previous to,
1915,brōⁿtʰ,earlier than,
1916,brōⁿtʰ,prior to,
1917,brōⁿtʰ,ahead of,
1918,brōⁿtʰ,by,
1919,buruz,bark of a tree,
1920,brāⁿt,hope,
1921,brāⁿt,expectation,
1922,brāⁿt,faith,
1923,broⁿṭʰas,next year,
1924,broⁿṭʰas,nearest time,
1925,brōⁿṭʰkun,forwards,
1926,brōⁿṭʰkun,ahead,
1927,brōⁿṭʰkun,frontwards,
1928,buḍun,to become,
1929,buḍun,vegetate,
1930,buḍun,be passive,
1931,buḍun,be sluggish,
1932,buḍun,stagnate,
1933,buḍun,pass the time,
1934,buḍun,waste time,
1935,brōⁿṭʰkanʸi,in the presence of,
1936,brōⁿṭʰkanʸi,in front of,
1937,brōⁿṭʰkanʸi,before,
1938,brōⁿṭʰkanʸi,in the company of,
1939,bucʰun,sting,
1940,bucʰun,hurt,
1941,bucʰun,throb,
